id,time,msg,type
1,2025-10-10T07:52:28.994168,Smart Surveillance started,info
2,2025-10-10T07:53:08.140155,Small flame/matchstick detected,fire
3,2025-10-10T07:53:09.386842,Small flame/matchstick detected,fire
4,2025-10-10T07:53:10.269130,Small flame/matchstick detected,fire
5,2025-10-10T07:53:11.093317,Small flame/matchstick detected,fire
6,2025-10-10T07:53:11.318459,Small flame/matchstick detected,fire
7,2025-10-10T07:53:11.710559,Small flame/matchstick detected,fire
8,2025-10-10T07:53:12.755332,Small flame/matchstick detected,fire
9,2025-10-10T07:53:13.188480,Small flame/matchstick detected,fire
10,2025-10-10T07:53:14.448129,Small flame/matchstick detected,fire
11,2025-10-10T07:53:14.653115,Small flame/matchstick detected,fire
12,2025-10-10T07:53:15.044388,Small flame/matchstick detected,fire
13,2025-10-10T07:53:15.271265,Small flame/matchstick detected,fire
14,2025-10-10T07:53:15.486986,Small flame/matchstick detected,fire
15,2025-10-10T07:53:15.697318,Small flame/matchstick detected,fire
16,2025-10-10T07:53:16.080358,Small flame/matchstick detected,fire
17,2025-10-10T07:53:16.297509,Small flame/matchstick detected,fire
18,2025-10-10T07:53:16.519187,Small flame/matchstick detected,fire
19,2025-10-10T07:53:16.732217,Small flame/matchstick detected,fire
20,2025-10-10T07:53:16.953868,Small flame/matchstick detected,fire
21,2025-10-10T07:53:17.129839,Small flame/matchstick detected,fire
22,2025-10-10T07:53:17.344831,Small flame/matchstick detected,fire
23,2025-10-10T07:53:17.566146,Small flame/matchstick detected,fire
24,2025-10-10T07:53:17.778987,Small flame/matchstick detected,fire
25,2025-10-10T07:53:18.000677,Small flame/matchstick detected,fire
26,2025-10-10T07:53:18.179785,Small flame/matchstick detected,fire
27,2025-10-10T07:53:18.618064,Small flame/matchstick detected,fire
28,2025-10-10T07:53:18.835618,Small flame/matchstick detected,fire
29,2025-10-10T07:53:19.053058,Small flame/matchstick detected,fire
30,2025-10-10T07:53:19.254104,Small flame/matchstick detected,fire
31,2025-10-10T07:53:19.451036,Small flame/matchstick detected,fire
32,2025-10-10T07:53:19.678176,Small flame/matchstick detected,fire
